,stateid,statename,cityid,cityname,suburbid,suburbname,geo_point
6847,2,Vic,24850,Mitchell,20345,Broadford,"-37.20930472020058, 145.06231200582454"
6848,2,Vic,23810,Latrobe,20373,Budgeree,"-38.42120365431276, 146.36250976722857"
6849,2,Vic,22110,East Gippsland,20389,Bullumwaal,"-37.6425285437015, 147.58465873446664"
6850,2,Vic,21010,Benalla,20405,Bungeet,"-36.28060578346001, 146.05473507146775"
6851,2,Vic,20570,"Ballarat, Pyrenees",20425,Burrumbeet,"-37.49291395133995, 143.6241541009534"
6852,2,Vic,21450,Cardinia,20443,Caldermeade,"-38.24338184287324, 145.5390430312049"
6853,2,Vic,20740,Bass Coast,20473,Cape Paterson,"-38.660388239786236, 145.61630512780695"
6854,2,Vic,26610,Swan Hill,20515,Castle Donnington,"-35.42528039562052, 143.56944331577495"
6855,2,Vic,25620,Murrindindi,20519,Cathkin,"-37.15465899599757, 145.60102723348388"
6856,2,Vic,20910,"Bayside, Kingston",20539,Cheltenham (Vic.),"-37.96353907195422, 145.06054243125035"
6857,2,Vic,22910,Hepburn,20627,Coomoora,"-37.3306325301745, 144.1976061458191"
6858,2,Vic,21670,Central Goldfields,20660,Craigie (Vic.),"-37.107273171953615, 143.7690191551434"
6859,2,Vic,21180,Brimbank,20729,Deer Park,"-37.7692920157695, 144.7715285920614"
6860,2,Vic,21450,Cardinia,20750,Dewhurst,"-37.98005715346362, 145.466928598054"
6861,2,Vic,24210,Manningham,20772,Doncaster East,"-37.77878963565134, 145.1638153959502"
6862,2,Vic,25620,Murrindindi,20789,Dropmore,"-37.041184008562944, 145.43908663267894"
6863,2,Vic,22110,East Gippsland,20836,Eastwood (Vic.),"-37.812765194811156, 147.6345623480505"
6864,2,Vic,21830,"Corangamite, Moyne",20841,Ecklin South,"-38.38754409762987, 142.89988380162492"
6865,2,Vic,25430,Mount Alexander,20863,Elphinstone (Vic.),"-37.072111776272976, 144.3576147607101"
6866,2,Vic,22110,East Gippsland,20875,Ensay,"-37.38479058359, 147.83936727990283"
6867,2,Vic,24130,Macedon Ranges,21002,Gisborne South,"-37.54882601676909, 144.6243764466473"
6868,2,Vic,26670,Towong,21090,Granya,"-36.09638460464982, 147.30627465434796"
6869,2,Vic,25810,Northern Grampians,21093,Grays Bridge,"-36.61977812096324, 142.8964717475516"
6870,2,Vic,24130,"Macedon Ranges, Mount Alexander",21102,Greenhill (Vic.),"-37.172061184818304, 144.4440047953306"
6871,2,Vic,22750,Greater Geelong,21114,Grovedale,"-38.20280077798459, 144.3318456402087"
6872,2,Vic,22490,Golden Plains,21123,Haddon,"-37.589147546044515, 143.69591131252227"
6873,2,Vic,21110,Boroondara,21153,Hawthorn East,"-37.83095094928407, 145.0500164226375"
6874,2,Vic,24410,Maroondah,21165,Heathmont,"-37.830794144935524, 145.24402279156848"
6875,2,Vic,22910,Hepburn,21173,Hepburn Springs,"-37.319659000347585, 144.1395088370681"
6876,2,Vic,22490,Golden Plains,21226,Illabarook,"-37.82047813802846, 143.65199491268842"
6877,2,Vic,24900,Moira,21233,Invergordon (Vic.),"-36.14607609371936, 145.58496455924924"
6878,2,Vic,20570,Ballarat,21236,Invermay (Vic.),"-37.50254702824956, 143.87550518657315"
6879,2,Vic,20830,Baw Baw,21266,Jericho (Vic.),"-37.66621829539824, 146.22889007932778"
6880,2,Vic,21180,Brimbank,21317,Keilor Lodge,"-37.698380320728674, 144.79981471190825"
6881,2,Vic,22110,East Gippsland,21443,Lake Tyers,"-37.83939688294877, 148.12574207922887"
6882,2,Vic,25990,Pyrenees,21462,Langi Kal Kal,"-37.379750171488, 143.4972959319434"
6883,2,Vic,22620,"Greater Bendigo, Loddon",21484,Leichardt,"-36.68720197282661, 144.07609667764302"
6884,2,Vic,26170,South Gippsland,21490,Leongatha,"-38.47437305315634, 145.94482934088515"
6885,2,Vic,25150,Moorabool,21494,Lerderderg,"-37.50067632823735, 144.40594370958314"
6886,2,Vic,23190,"Horsham, Northern Grampians, Yarriambiack",21549,Lubeck,"-36.73972687370305, 142.53347461362412"
6887,2,Vic,22490,Golden Plains,21624,Maude (Vic.),"-37.94662618419334, 144.18832065725582"
6888,2,Vic,23270,Hume,21641,Melbourne Airport,"-37.67375369500678, 144.83801419608392"
6889,2,Vic,20110,Alpine,21660,Merriang,"-36.56462557239514, 146.6861311994601"
6890,2,Vic,21370,"Campaspe, Greater Bendigo, Loddon",21686,Milloo,"-36.35713701917, 144.3797552635697"
6891,2,Vic,20570,Ballarat,21775,Mount Bolton,"-37.359217532528824, 143.69594822356066"
6892,2,Vic,20260,Ararat,21784,Mount Cole,"-37.25549248328745, 143.2147900263405"
6893,2,Vic,27450,Yarra Ranges,21814,Mount Toolebewong,"-37.71824009693999, 145.5607378211929"
6894,2,Vic,22410,"Glenelg, Southern Grampians",21831,Muntham,"-37.573359803798866, 141.54430201553652"
6895,2,Vic,22910,Hepburn,21852,Musk Vale,"-37.383519609083514, 144.14495790469422"
6896,2,Vic,20830,Baw Baw,21910,Neerim North,"-37.92448034909745, 146.02685087450132"
6897,2,Vic,23110,Hobsons Bay,21934,Newport (Vic.),"-37.84368166137825, 144.87997223282025"
6898,2,Vic,25430,Mount Alexander,21936,Newstead (Vic.),"-37.10568759685732, 144.0539774379016"
6899,2,Vic,22670,Greater Dandenong,21953,Noble Park North,"-37.951185586577466, 145.19080369577418"
6900,2,Vic,20260,Ararat,21973,Norval,"-37.253505881408664, 142.8626256448362"
6901,2,Vic,25430,Mount Alexander,21979,Nuggetty,"-36.952772714030175, 144.055079657437"
6902,2,Vic,26490,Surf Coast,22035,Paraparap,"-38.297758128661435, 144.18324882827838"
6903,2,Vic,24130,Macedon Ranges,22078,Pipers Creek,"-37.250120229604995, 144.54795089873903"
6904,2,Vic,26170,South Gippsland,22098,Poowong,"-38.338776894395224, 145.7733941261916"
6905,2,Vic,27350,Yarra,22122,Princes Hill,"-37.781818319171585, 144.9666376137289"
6906,2,Vic,25490,Moyne,22128,Purnim West,"-38.296753789512785, 142.55463673585015"
6907,2,Vic,27260,Wyndham,22132,Quandong,"-37.84384660644551, 144.50289774816827"
6908,2,Vic,22980,"Hindmarsh, Yarriambiack",22137,Rainbow,"-35.902289680522536, 141.96119072677632"
6909,2,Vic,25710,Nillumbik,22160,Research,"-37.706690842598015, 145.1891359517384"
6910,2,Vic,20260,Ararat,22165,Rhymney,"-37.221822410664224, 142.78129461893892"
6911,2,Vic,20830,Baw Baw,22177,Ripplebrook,"-38.19690445928645, 145.76536919611127"
6912,2,Vic,21370,Campaspe,22215,Rushworth,"-36.58293005937128, 145.0021464034817"
6913,2,Vic,23110,Hobsons Bay,22247,Seabrook,"-37.88094937617663, 144.75867116113488"
6914,2,Vic,21830,Corangamite,22288,Skibo,"-38.20486597622417, 143.12865788911535"
6915,2,Vic,24600,Melbourne,22313,South Wharf,"-37.82525256935241, 144.95181854963565"
6916,2,Vic,25150,Moorabool,22317,Spargo Creek,"-37.488140691065794, 144.14723615146767"
6917,2,Vic,25150,Moorabool,22322,Springbank,"-37.52110717188302, 144.06227594473125"
6918,2,Vic,25340,Mornington Peninsula,22333,St Andrews Beach,"-38.419921276534645, 144.83104421558815"
6919,2,Vic,23190,Horsham,22341,St Helens Plains,"-36.7856289371576, 142.4319892566934"
6920,2,Vic,22490,Golden Plains,22348,Staffordshire Reef,"-37.733936216848825, 143.68765696717014"
6921,2,Vic,22620,Greater Bendigo,22373,Strathdale,"-36.76583580872395, 144.31547290742006"
6922,2,Vic,23940,Loddon,22450,Tarnagulla,"-36.777494465835915, 143.8304462828731"
6923,2,Vic,27450,Yarra Ranges,22476,Tecoma,"-37.904752541823946, 145.34392813478803"
6924,2,Vic,20830,Baw Baw,22505,Thomson (Baw Baw - Vic.),"-37.755977384175125, 146.34512615949467"
6925,2,Vic,26670,Towong,22513,Thowgla Valley,"-36.27328600020995, 147.93756359765501"
6926,2,Vic,21830,Corangamite,22517,Timboon West,"-38.536269653328034, 142.92397946183692"
6927,2,Vic,26610,Swan Hill,22525,Tol Tol,"-34.65137145499957, 142.82588639225517"
6928,2,Vic,20830,Baw Baw,22565,Trafalgar (Vic.),"-38.169432273345684, 146.14712581222147"
6929,2,Vic,23810,Latrobe,22570,Traralgon East,"-38.18722877319554, 146.5893233990156"
